Order_ID,Month,Month_No,Region,Salesperson,Product,Units_Sold,Unit_Price,Revenue,Target_Units,Target_Revenue,Achievement_%
ORD1056,Mar,3,West,Ravi Kumar,Laptop,49,50200,2459800,50,2750000,0.98
ORD1057,Mar,3,West,Ravi Kumar,Mobile,62,20100,1246200,80,1760000,0.775
ORD1058,Mar,3,West,Neha Joshi,Tablet,55,36200,1991000,40,1400000,1.375
ORD1059,Mar,3,West,Neha Joshi,Accessories,89,3200,284800,150,525000,0.5933
ORD1060,Mar,3,West,Anita Gupta,Headphones,51,8500,433500,60,480000,0.85
ORD1061,Apr,4,North,Deepak Nair,Laptop,44,50500,2222000,50,2750000,0.88
ORD1062,Apr,4,North,Deepak Nair,Mobile,65,21700,1410500,80,1760000,0.8125
ORD1063,Apr,4,North,Anita Gupta,Tablet,26,36200,941200,40,1400000,0.65
ORD1064,Apr,4,North,Priya Sharma,Accessories,27,3400,91800,150,525000,0.18
ORD1065,Apr,4,North,Pooja Rao,Headphones,33,7600,250800,60,480000,0.55
ORD1066,Apr,4,South,Neha Joshi,Laptop,88,54400,4787200,50,2750000,1.76
ORD1067,Apr,4,South,Deepak Nair,Mobile,43,21000,903000,80,1760000,0.5375
ORD1068,Apr,4,South,Neha Joshi,Tablet,29,34600,1003400,40,1400000,0.725
ORD1069,Apr,4,South,Priya Sharma,Accessories,26,3600,93600,150,525000,0.1733
ORD1070,Apr,4,South,Ravi Kumar,Headphones,31,8700,269700,60,480000,0.5167
ORD1071,Apr,4,East,Neha Joshi,Laptop,41,54000,2214000,50,2750000,0.82
ORD1072,Apr,4,East,Anita Gupta,Mobile,47,23600,1109200,80,1760000,0.5875
ORD1073,Apr,4,East,Ravi Kumar,Tablet,41,34200,1402200,40,1400000,1.025
ORD1074,Apr,4,East,Deepak Nair,Accessories,53,3800,201400,150,525000,0.3533
ORD1075,Apr,4,East,Anita Gupta,Headphones,56,7900,442400,60,480000,0.9333
ORD1076,Apr,4,West,Anita Gupta,Laptop,39,51600,2012400,50,2750000,0.78
ORD1077,Apr,4,West,Neha Joshi,Mobile,27,22300,602100,80,1760000,0.3375
ORD1078,Apr,4,West,Ravi Kumar,Tablet,60,31900,1914000,40,1400000,1.5
ORD1079,Apr,4,West,Anita Gupta,Accessories,84,3800,319200,150,525000,0.56
ORD1080,Apr,4,West,Amit Singh,Headphones,27,8700,234900,60,480000,0.45
ORD1081,May,5,North,Priya Sharma,Laptop,43,50300,2162900,50,2750000,0.86
ORD1082,May,5,North,Priya Sharma,Mobile,50,21600,1080000,80,1760000,0.625
ORD1083,May,5,North,Neha Joshi,Tablet,25,35800,895000,40,1400000,0.625
ORD1084,May,5,North,Deepak Nair,Accessories,86,3400,292400,150,525000,0.5733
ORD1085,May,5,North,Suresh Patel,Headphones,46,8300,381800,60,480000,0.7667
ORD1086,May,5,South,Pooja Rao,Laptop,50,52400,2620000,50,2750000,1
ORD1087,May,5,South,Amit Singh,Mobile,58,21800,1264400,80,1760000,0.725
ORD1088,May,5,South,Priya Sharma,Tablet,21,34700,728700,40,1400000,0.525
ORD1089,May,5,South,Priya Sharma,Accessories,29,3500,101500,150,525000,0.1933
ORD1090,May,5,South,Suresh Patel,Headphones,36,8700,313200,60,480000,0.6
ORD1091,May,5,East,Priya Sharma,Laptop,51,53600,2733600,50,2750000,1.02
ORD1092,May,5,East,Amit Singh,Mobile,76,23500,1786000,80,1760000,0.95
ORD1093,May,5,East,Suresh Patel,Tablet,87,31600,2749200,40,1400000,2.175
ORD1094,May,5,East,Suresh Patel,Accessories,33,3800,125400,150,525000,0.22
ORD1095,May,5,East,Amit Singh,Headphones,53,7400,392200,60,480000,0.8833
ORD1096,May,5,West,Priya Sharma,Laptop,90,51200,4608000,50,2750000,1.8
ORD1097,May,5,West,Suresh Patel,Mobile,46,23000,1058000,80,1760000,0.575
ORD1098,May,5,West,Neha Joshi,Tablet,53,35000,1855000,40,1400000,1.325
ORD1099,May,5,West,Suresh Patel,Accessories,26,3200,83200,150,525000,0.1733
ORD1100,May,5,West,Deepak Nair,Headphones,55,7300,401500,60,480000,0.9167
ORD1101,Jun,6,North,Pooja Rao,Laptop,36,56500,2034000,50,2750000,0.72
ORD1102,Jun,6,North,Suresh Patel,Mobile,40,23100,924000,80,1760000,0.5
ORD1103,Jun,6,North,Deepak Nair,Tablet,21,32300,678300,40,1400000,0.525
ORD1104,Jun,6,North,Amit Singh,Accessories,89,3200,284800,150,525000,0.5933
ORD1105,Jun,6,North,Pooja Rao,Headphones,90,7400,666000,60,480000,1.5
ORD1106,Jun,6,South,Amit Singh,Laptop,25,52900,1322500,50,2750000,0.5
ORD1107,Jun,6,South,Ravi Kumar,Mobile,65,20700,1345500,80,1760000,0.8125
ORD1108,Jun,6,South,Neha Joshi,Tablet,33,34000,1122000,40,1400000,0.825
ORD1109,Jun,6,South,Deepak Nair,Accessories,39,3800,148200,150,525000,0.26
ORD1110,Jun,6,South,Neha Joshi,Headphones,40,8800,352000,60,480000,0.6667
ORD1111,Jun,6,East,Amit Singh,Laptop,72,49800,3585600,50,2750000,1.44
ORD1112,Jun,6,East,Pooja Rao,Mobile,72,23300,1677600,80,1760000,0.9
ORD1113,Jun,6,East,Neha Joshi,Tablet,54,32600,1760400,40,1400000,1.35
ORD1114,Jun,6,East,Priya Sharma,Accessories,68,3800,258400,150,525000,0.4533
ORD1115,Jun,6,East,Anita Gupta,Headphones,48,7500,360000,60,480000,0.8
ORD1116,Jun,6,West,Anita Gupta,Laptop,64,52900,3385600,50,2750000,1.28
ORD1117,Jun,6,West,Neha Joshi,Mobile,48,19900,955200,80,1760000,0.6
ORD1118,Jun,6,West,Neha Joshi,Tablet,71,33800,2399800,40,1400000,1.775
ORD1119,Jun,6,West,Priya Sharma,Accessories,55,3400,187000,150,525000,0.3667
ORD1120,Jun,6,West,Deepak Nair,Headphones,88,7700,677600,60,480000,1.4667
ORD1121,Jul,7,North,Ravi Kumar,Laptop,34,59100,2009400,50,2750000,0.68
ORD1122,Jul,7,North,Suresh Patel,Mobile,42,22400,940800,80,1760000,0.525
ORD1123,Jul,7,North,Suresh Patel,Tablet,24,32300,775200,40,1400000,0.6
ORD1124,Jul,7,North,Deepak Nair,Accessories,64,3700,236800,150,525000,0.4267
ORD1125,Jul,7,North,Pooja Rao,Headphones,75,8200,615000,60,480000,1.25
ORD1126,Jul,7,South,Priya Sharma,Laptop,69,59400,4098600,50,2750000,1.38
ORD1127,Jul,7,South,Neha Joshi,Mobile,52,20000,1040000,80,1760000,0.65
ORD1128,Jul,7,South,Deepak Nair,Tablet,20,35100,702000,40,1400000,0.5
ORD1129,Jul,7,South,Neha Joshi,Accessories,66,3500,231000,150,525000,0.44
ORD1130,Jul,7,South,Pooja Rao,Headphones,60,8300,498000,60,480000,1
ORD1131,Jul,7,East,Priya Sharma,Laptop,58,55100,3195800,50,2750000,1.16
ORD1132,Jul,7,East,Deepak Nair,Mobile,61,21600,1317600,80,1760000,0.7625
ORD1133,Jul,7,East,Suresh Patel,Tablet,90,32400,2916000,40,1400000,2.25
ORD1134,Jul,7,East,Deepak Nair,Accessories,68,3600,244800,150,525000,0.4533
ORD1135,Jul,7,East,Amit Singh,Headphones,58,7800,452400,60,480000,0.9667
ORD1136,Jul,7,West,Ravi Kumar,Laptop,58,52700,3056600,50,2750000,1.16
ORD1137,Jul,7,West,Deepak Nair,Mobile,61,21800,1329800,80,1760000,0.7625
ORD1138,Jul,7,West,Anita Gupta,Tablet,47,35100,1649700,40,1400000,1.175
ORD1139,Jul,7,West,Amit Singh,Accessories,30,3300,99000,150,525000,0.2
ORD1140,Jul,7,West,Pooja Rao,Headphones,31,8500,263500,60,480000,0.5167
ORD1141,Aug,8,North,Neha Joshi,Laptop,59,52000,3068000,50,2750000,1.18
ORD1142,Aug,8,North,Neha Joshi,Mobile,38,19900,756200,80,1760000,0.475
ORD1143,Aug,8,North,Neha Joshi,Tablet,80,35800,2864000,40,1400000,2
ORD1144,Aug,8,North,Priya Sharma,Accessories,78,3400,265200,150,525000,0.52
ORD1145,Aug,8,North,Neha Joshi,Headphones,69,8000,552000,60,480000,1.15
ORD1146,Aug,8,South,Neha Joshi,Laptop,38,56700,2154600,50,2750000,0.76
ORD1147,Aug,8,South,Ravi Kumar,Mobile,33,23200,765600,80,1760000,0.4125
ORD1148,Aug,8,South,Neha Joshi,Tablet,42,37100,1558200,40,1400000,1.05
ORD1149,Aug,8,South,Anita Gupta,Accessories,26,3500,91000,150,525000,0.1733
ORD1150,Aug,8,South,Priya Sharma,Headphones,78,7400,577200,60,480000,1.3
ORD1151,Aug,8,East,Anita Gupta,Laptop,87,60400,5254800,50,2750000,1.74
ORD1152,Aug,8,East,Pooja Rao,Mobile,76,22500,1710000,80,1760000,0.95
ORD1153,Aug,8,East,Deepak Nair,Tablet,90,34600,3114000,40,1400000,2.25
ORD1154,Aug,8,East,Amit Singh,Accessories,80,3500,280000,150,525000,0.5333
ORD1155,Aug,8,East,Neha Joshi,Headphones,55,8400,462000,60,480000,0.9167
ORD1156,Aug,8,West,Anita Gupta,Laptop,50,52500,2625000,50,2750000,1
ORD1157,Aug,8,West,Priya Sharma,Mobile,56,20800,1164800,80,1760000,0.7
ORD1158,Aug,8,West,Pooja Rao,Tablet,60,37800,2268000,40,1400000,1.5
ORD1159,Aug,8,West,Priya Sharma,Accessories,37,3300,122100,150,525000,0.2467
ORD1160,Aug,8,West,Deepak Nair,Headphones,39,8300,323700,60,480000,0.65
ORD1161,Sep,9,North,Priya Sharma,Laptop,73,54000,3942000,50,2750000,1.46
ORD1162,Sep,9,North,Anita Gupta,Mobile,73,20100,1467300,80,1760000,0.9125
ORD1163,Sep,9,North,Deepak Nair,Tablet,69,37800,2608200,40,1400000,1.725
ORD1164,Sep,9,North,Ravi Kumar,Accessories,68,3500,238000,150,525000,0.4533
ORD1165,Sep,9,North,Pooja Rao,Headphones,58,8400,487200,60,480000,0.9667
ORD1166,Sep,9,South,Deepak Nair,Laptop,88,57700,5077600,50,2750000,1.76
ORD1167,Sep,9,South,Neha Joshi,Mobile,82,20800,1705600,80,1760000,1.025
ORD1168,Sep,9,South,Deepak Nair,Tablet,82,31700,2599400,40,1400000,2.05
ORD1169,Sep,9,South,Pooja Rao,Accessories,71,3700,262700,150,525000,0.4733
ORD1170,Sep,9,South,Anita Gupta,Headphones,36,8800,316800,60,480000,0.6
ORD1171,Sep,9,East,Ravi Kumar,Laptop,70,56000,3920000,50,2750000,1.4
ORD1172,Sep,9,East,Ravi Kumar,Mobile,30,22600,678000,80,1760000,0.375
ORD1173,Sep,9,East,Amit Singh,Tablet,79,32800,2591200,40,1400000,1.975
ORD1174,Sep,9,East,Suresh Patel,Accessories,68,3400,231200,150,525000,0.4533
ORD1175,Sep,9,East,Anita Gupta,Headphones,61,7700,469700,60,480000,1.0167
ORD1176,Sep,9,West,Deepak Nair,Laptop,55,57800,3179000,50,2750000,1.1
ORD1177,Sep,9,West,Deepak Nair,Mobile,52,23500,1222000,80,1760000,0.65
ORD1178,Sep,9,West,Anita Gupta,Tablet,22,36700,807400,40,1400000,0.55
ORD1179,Sep,9,West,Ravi Kumar,Accessories,64,3300,211200,150,525000,0.4267
ORD1180,Sep,9,West,Priya Sharma,Headphones,25,8400,210000,60,480000,0.4167
ORD1181,Oct,10,North,Neha Joshi,Laptop,45,58700,2641500,50,2750000,0.9
ORD1182,Oct,10,North,Amit Singh,Mobile,50,20400,1020000,80,1760000,0.625
ORD1183,Oct,10,North,Priya Sharma,Tablet,47,34800,1635600,40,1400000,1.175
ORD1184,Oct,10,North,Suresh Patel,Accessories,67,3300,221100,150,525000,0.4467
ORD1185,Oct,10,North,Priya Sharma,Headphones,40,8700,348000,60,480000,0.6667
ORD1186,Oct,10,South,Priya Sharma,Laptop,23,59700,1373100,50,2750000,0.46
ORD1187,Oct,10,South,Deepak Nair,Mobile,70,23900,1673000,80,1760000,0.875
ORD1188,Oct,10,South,Neha Joshi,Tablet,29,35600,1032400,40,1400000,0.725
ORD1189,Oct,10,South,Neha Joshi,Accessories,33,3600,118800,150,525000,0.22
ORD1190,Oct,10,South,Suresh Patel,Headphones,35,8500,297500,60,480000,0.5833
ORD1191,Oct,10,East,Ravi Kumar,Laptop,64,55400,3545600,50,2750000,1.28
ORD1192,Oct,10,East,Pooja Rao,Mobile,28,22000,616000,80,1760000,0.35
ORD1193,Oct,10,East,Pooja Rao,Tablet,21,37400,785400,40,1400000,0.525
ORD1194,Oct,10,East,Anita Gupta,Accessories,33,3500,115500,150,525000,0.22
ORD1195,Oct,10,East,Pooja Rao,Headphones,78,8300,647400,60,480000,1.3
ORD1196,Oct,10,West,Deepak Nair,Laptop,42,57600,2419200,50,2750000,0.84
ORD1197,Oct,10,West,Suresh Patel,Mobile,88,23200,2041600,80,1760000,1.1
ORD1198,Oct,10,West,Anita Gupta,Tablet,75,37300,2797500,40,1400000,1.875
ORD1199,Oct,10,West,Suresh Patel,Accessories,61,3700,225700,150,525000,0.4067
ORD1200,Oct,10,West,Priya Sharma,Headphones,55,8600,473000,60,480000,0.9167
ORD1201,Nov,11,North,Neha Joshi,Laptop,79,55800,4408200,50,2750000,1.58
ORD1202,Nov,11,North,Deepak Nair,Mobile,63,19900,1253700,80,1760000,0.7875
ORD1203,Nov,11,North,Pooja Rao,Tablet,43,34900,1500700,40,1400000,1.075
ORD1204,Nov,11,North,Pooja Rao,Accessories,53,3400,180200,150,525000,0.3533
ORD1205,Nov,11,North,Suresh Patel,Headphones,21,8000,168000,60,480000,0.35
ORD1206,Nov,11,South,Neha Joshi,Laptop,30,52200,1566000,50,2750000,0.6
ORD1207,Nov,11,South,Deepak Nair,Mobile,82,22200,1820400,80,1760000,1.025
ORD1208,Nov,11,South,Neha Joshi,Tablet,80,36000,2880000,40,1400000,2
ORD1209,Nov,11,South,Anita Gupta,Accessories,77,3700,284900,150,525000,0.5133
ORD1210,Nov,11,South,Priya Sharma,Headphones,57,7600,433200,60,480000,0.95
ORD1211,Nov,11,East,Neha Joshi,Laptop,59,56800,3351200,50,2750000,1.18
ORD1212,Nov,11,East,Pooja Rao,Mobile,80,22200,1776000,80,1760000,1
ORD1213,Nov,11,East,Pooja Rao,Tablet,74,38500,2849000,40,1400000,1.85
ORD1214,Nov,11,East,Pooja Rao,Accessories,65,3600,234000,150,525000,0.4333
ORD1215,Nov,11,East,Suresh Patel,Headphones,59,7600,448400,60,480000,0.9833
ORD1216,Nov,11,West,Priya Sharma,Laptop,44,53000,2332000,50,2750000,0.88
ORD1217,Nov,11,West,Amit Singh,Mobile,44,20800,915200,80,1760000,0.55
ORD1218,Nov,11,West,Anita Gupta,Tablet,55,36600,2013000,40,1400000,1.375
ORD1219,Nov,11,West,Suresh Patel,Accessories,32,3700,118400,150,525000,0.2133
ORD1220,Nov,11,West,Suresh Patel,Headphones,49,7800,382200,60,480000,0.8167
ORD1221,Dec,12,North,Suresh Patel,Laptop,21,57300,1203300,50,2750000,0.42
ORD1222,Dec,12,North,Amit Singh,Mobile,55,20000,1100000,80,1760000,0.6875
ORD1223,Dec,12,North,Ravi Kumar,Tablet,90,33500,3015000,40,1400000,2.25
ORD1224,Dec,12,North,Amit Singh,Accessories,82,3200,262400,150,525000,0.5467
ORD1225,Dec,12,North,Ravi Kumar,Headphones,56,8000,448000,60,480000,0.9333
ORD1226,Dec,12,South,Anita Gupta,Laptop,63,51500,3244500,50,2750000,1.26
ORD1227,Dec,12,South,Ravi Kumar,Mobile,52,23900,1242800,80,1760000,0.65
ORD1228,Dec,12,South,Anita Gupta,Tablet,34,37300,1268200,40,1400000,0.85
ORD1229,Dec,12,South,Deepak Nair,Accessories,82,3200,262400,150,525000,0.5467
ORD1230,Dec,12,South,Ravi Kumar,Headphones,39,7400,288600,60,480000,0.65
ORD1231,Dec,12,East,Suresh Patel,Laptop,30,60400,1812000,50,2750000,0.6
ORD1232,Dec,12,East,Priya Sharma,Mobile,73,22500,1642500,80,1760000,0.9125
ORD1233,Dec,12,East,Neha Joshi,Tablet,86,34200,2941200,40,1400000,2.15
ORD1234,Dec,12,East,Anita Gupta,Accessories,58,3800,220400,150,525000,0.3867
ORD1235,Dec,12,East,Deepak Nair,Headphones,59,8100,477900,60,480000,0.9833
ORD1236,Dec,12,West,Ravi Kumar,Laptop,32,59900,1916800,50,2750000,0.64
ORD1237,Dec,12,West,Neha Joshi,Mobile,47,21000,987000,80,1760000,0.5875
ORD1238,Dec,12,West,Priya Sharma,Tablet,40,33200,1328000,40,1400000,1
ORD1239,Dec,12,West,Priya Sharma,Accessories,40,3200,128000,150,525000,0.2667
ORD1240,Dec,12,West,Anita Gupta,Headphones,80,7700,616000,60,480000,1.3333
